0.000000000000000000e+00,8.810099628046776099e-02
1.212121212121212110e+01,1.543472294044214987e-01
2.424242424242424221e+01,2.113477333251742862e-01
3.636363636363635976e+01,2.809988332699871472e-01
4.848484848484848442e+01,3.575212075037687010e-01
6.060606060606060908e+01,6.378546996422993498e-01
7.272727272727271952e+01,6.987909956754353447e-01
8.484848484848484418e+01,8.211366141143298103e-01
9.696969696969696884e+01,1.000424257615107004e+00
1.090909090909090935e+02,1.141306863203984001e+00
1.212121212121212182e+02,1.090584647465206558e+00
1.333333333333333428e+02,1.474011727246114178e+00
1.454545454545454390e+02,1.365125078799924951e+00
1.575757575757575637e+02,1.803315383229802338e+00
1.696969696969696884e+02,1.829063630746170732e+00
1.818181818181818130e+02,1.871343347640244126e+00
1.939393939393939377e+02,2.143803359354098603e+00
2.060606060606060623e+02,2.165299280589759068e+00
2.181818181818181870e+02,2.346182768318953560e+00
2.303030303030303116e+02,2.426759984537594672e+00
2.424242424242424363e+02,2.633177055864967642e+00
2.545454545454545325e+02,2.757641069077339413e+00
2.666666666666666856e+02,2.727413268688554826e+00
2.787878787878788103e+02,2.878273384997238615e+00
2.909090909090908781e+02,3.082003618714448834e+00
3.030303030303030027e+02,3.165017369687368021e+00
3.151515151515151274e+02,3.126297771766552991e+00
3.272727272727272521e+02,3.598453039157378797e+00
3.393939393939393767e+02,3.389638173726858827e+00
3.515151515151515014e+02,3.524385662609510028e+00
3.636363636363636260e+02,3.716092824603183242e+00
3.757575757575757507e+02,3.990642644690253427e+00
3.878787878787878753e+02,4.216408273257695072e+00
4.000000000000000000e+02,4.181166795792793600e+00
4.121212121212121247e+02,4.295986539229167178e+00
4.242424242424242493e+02,4.468457571688477792e+00
4.363636363636363740e+02,4.552469402357860240e+00
4.484848484848484986e+02,4.715680127059086679e+00
4.606060606060606233e+02,4.745165919614596106e+00
4.727272727272727479e+02,4.998696958245945510e+00
4.848484848484848726e+02,5.122315442761572690e+00
4.969696969696969404e+02,5.023348424874301443e+00
5.090909090909090651e+02,5.336636469828639484e+00
5.212121212121212466e+02,5.485760538141341236e+00
5.333333333333333712e+02,5.644897980821044214e+00
5.454545454545454959e+02,5.661985546757552612e+00
5.575757575757576205e+02,5.748302713404455311e+00
5.696969696969697452e+02,5.905759455377450173e+00
5.818181818181817562e+02,6.152934186226183044e+00
5.939393939393938808e+02,6.168216795644283934e+00
6.060606060606060055e+02,6.302504858714477187e+00
6.181818181818181301e+02,6.582410337125128130e+00
6.303030303030302548e+02,6.555289211023489493e+00
6.424242424242423795e+02,6.673563935794250668e+00
6.545454545454545041e+02,6.865428267646203508e+00
6.666666666666666288e+02,7.015888841312541757e+00
6.787878787878787534e+02,7.210283099966426690e+00
6.909090909090908781e+02,7.184199240050173962e+00
7.030303030303030027e+02,7.256365814263357805e+00
7.151515151515151274e+02,7.499291176965663830e+00
7.272727272727272521e+02,7.687854581621990313e+00
7.393939393939393767e+02,7.645114240176410725e+00
7.515151515151515014e+02,7.851928049646315522e+00
7.636363636363636260e+02,8.042677481230084524e+00
7.757575757575757507e+02,8.163936489456316892e+00
7.878787878787878753e+02,8.279395992000663895e+00
8.000000000000000000e+02,8.379448838609796724e+00
8.121212121212121247e+02,8.463325010627007927e+00
8.242424242424242493e+02,8.580294414468559339e+00
8.363636363636363740e+02,8.874319160559949182e+00
8.484848484848484986e+02,8.819714131900070697e+00
8.606060606060606233e+02,9.134603644245041565e+00
8.727272727272727479e+02,9.058431688767138112e+00
8.848484848484848726e+02,9.523195633866919252e+00
8.969696969696969973e+02,9.279132943871148953e+00
9.090909090909091219e+02,9.673796489410872113e+00
9.212121212121212466e+02,9.600961500104057578e+00
9.333333333333333712e+02,9.790750761559465332e+00
9.454545454545454959e+02,9.922028521599548512e+00
9.575757575757576205e+02,1.000236764133931544e+01
9.696969696969697452e+02,1.036008959260397511e+01
9.818181818181817562e+02,1.031668413678357155e+01
9.939393939393938808e+02,1.033067773692400770e+01
1.006060606060606005e+03,1.061536118827246788e+01
1.018181818181818130e+03,1.074790123063814207e+01
1.030303030303030255e+03,1.072638317511601080e+01
1.042424242424242493e+03,1.098830358881255798e+01
1.054545454545454504e+03,1.107824373576157484e+01
1.066666666666666742e+03,1.126562685282145004e+01
1.078787878787878753e+03,1.138424836501629400e+01
1.090909090909090992e+03,1.145387006201914559e+01
1.103030303030303003e+03,1.154915555237598923e+01
1.115151515151515241e+03,1.178192072374263866e+01
1.127272727272727252e+03,1.186141957268571723e+01
1.139393939393939490e+03,1.184449417378573877e+01
1.151515151515151501e+03,1.204731955700843571e+01
1.163636363636363512e+03,1.217951682629314014e+01
1.175757575757575751e+03,1.232448218498127446e+01
1.187878787878787762e+03,1.265547063789076709e+01
1.200000000000000000e+03,1.256981701562004439e+01

